產業別,年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
20,2015,943275.89,103.26,787001.21,104.44,156274.68,97.69,
20,2014,1009421.74,110.5,848508.85,112.6,160912.89,100.59,
20,2013,659772.45,72.22,610920.93,81.07,48851.52,30.54,
20,2021,861839.02,94.34,703302.12,93.33,158536.9,99.1,T
20,2022,851372.96,93.2,691901.13,91.82,159471.83,99.69,T
20,2023,840906.89,92.05,680500.14,90.31,160406.75,100.27,T
20,2024,830440.82,90.91,669099.15,88.79,161341.67,100.86,T
20,2025,819974.76,89.76,657698.16,87.28,162276.6,101.44,T
20,2026,809508.69,88.61,646297.17,85.77,163211.52,102.03,T
20,2027,799042.62,87.47,634896.18,84.25,164146.44,102.61,T
20,2028,788576.56,86.32,623495.19,82.74,165081.37,103.2,T
20,2029,778110.49,85.18,612094.2,81.23,166016.29,103.78,T
20,2030,767644.42,84.03,600693.21,79.72,166951.21,104.36,T
20,2031,757178.36,82.89,589292.22,78.2,167886.14,104.95,T
20,2032,746712.29,81.74,577891.23,76.69,168821.06,105.53,T
20,2033,736246.22,80.59,566490.24,75.18,169755.98,106.12,T
20,2034,725780.16,79.45,555089.25,73.66,170690.91,106.7,T
20,2035,715314.09,78.3,543688.26,72.15,171625.83,107.29,T
20,2036,704848.02,77.16,532287.27,70.64,172560.75,107.87,T
20,2037,694381.96,76.01,520886.28,69.12,173495.68,108.46,T
20,2038,683915.89,74.87,509485.29,67.61,174430.6,109.04,T
20,2039,673449.82,73.72,498084.3,66.1,175365.52,109.62,T
20,2040,662983.76,72.57,486683.31,64.59,176300.45,110.21,T
20,2041,652517.69,71.43,475282.32,63.07,177235.37,110.79,T
20,2042,642051.62,70.28,463881.33,61.56,178170.29,111.38,T
20,2043,631585.56,69.14,452480.34,60.05,179105.22,111.96,T
20,2044,621119.49,67.99,441079.35,58.53,180040.14,112.55,T
20,2045,610653.42,66.85,429678.36,57.02,180975.06,113.13,T
20,2046,600187.36,65.7,418277.37,55.51,181909.99,113.72,T
20,2047,589721.29,64.56,406876.38,53.99,182844.91,114.3,T
20,2048,579255.22,63.41,395475.39,52.48,183779.83,114.88,T
20,2049,568789.16,62.26,384074.4,50.97,184714.76,115.47,T
20,2050,558323.09,61.12,372673.41,49.46,185649.68,116.05,T
21,2020,7169012.1,99.23,3897336.42,97.48,3271675.68,101.4,
21,2019,7224642.17,100,3998074.47,100,3226567.7,100,
21,2018,7852064.55,108.68,4165876.46,104.2,3686188.09,114.24,
21,2017,7760198.43,107.41,4008876.9,100.27,3751321.53,116.26,
21,2016,7338845.22,101.58,3879663,97.04,3459182.22,107.21,
21,2015,7283418.76,100.81,3760646.21,94.06,3522772.55,109.18,
21,2014,6383558.43,88.36,3772630.62,94.36,2610927.81,80.92,
21,2013,1257320.41,17.4,1147067.75,28.69,110252.66,3.42,
21,2021,6971949.99,96.5,3860156.26,96.55,3111793.73,96.44,T
21,2022,6774887.88,93.77,3822976.1,95.62,2951911.78,91.49,T
21,2023,6577825.77,91.05,3785795.94,94.69,2792029.83,86.53,T
21,2024,6380763.66,88.32,3748615.78,93.76,2632147.88,81.58,T
21,2025,6183701.55,85.59,3711435.62,92.83,2472265.93,76.62,T
21,2026,5986639.44,82.86,3674255.46,91.9,2312383.98,71.67,T
21,2027,5789577.33,80.14,3637075.3,90.97,2152502.03,66.71,T
21,2028,5592515.22,77.41,3599895.14,90.04,1992620.08,61.76,T
21,2029,5395453.11,74.68,3562714.98,89.11,1832738.13,56.8,T
21,2030,5198391,71.95,3525534.82,88.18,1672856.18,51.85,T
21,2031,5001328.89,69.23,3488354.66,87.25,1512974.23,46.89,T
21,2032,4804266.78,66.5,3451174.5,86.32,1353092.28,41.94,T
21,2033,4607204.67,63.77,3413994.34,85.39,1193210.33,36.98,T
21,2034,4410142.56,61.04,3376814.18,84.46,1033328.38,32.03,T
21,2035,4213080.45,58.32,3339634.02,83.53,873446.43,27.07,T
21,2036,4016018.34,55.59,3302453.86,82.6,713564.48,22.12,T
21,2037,3818956.23,52.86,3265273.7,81.67,553682.53,17.16,T
21,2038,3621894.12,50.13,3228093.54,80.74,393800.58,12.2,T
21,2039,3424832.01,47.4,3190913.38,79.81,233918.63,7.25,T
21,2040,3227769.9,44.68,3153733.22,78.88,74036.68,2.29,T
21,2041,3030707.79,41.95,3116553.06,77.95,0,0,T
21,2042,2833645.68,39.22,3079372.9,77.02,0,0,T
21,2043,2636583.57,36.49,3042192.74,76.09,0,0,T
21,2044,2439521.46,33.77,3005012.58,75.16,0,0,T
21,2045,2242459.35,31.04,2967832.42,74.23,0,0,T
21,2046,2045397.24,28.31,2930652.26,73.3,0,0,T
21,2047,1848335.13,25.58,2893472.1,72.37,0,0,T
21,2048,1651273.02,22.86,2856291.94,71.44,0,0,T
21,2049,1454210.91,20.13,2819111.78,70.51,0,0,T
21,2050,1257148.8,17.4,2781931.62,69.58,0,0,T
24,2020,14317566.49,120.1,3729001.79,121.98,10588564.7,119.46,
24,2019,11920968.45,100,3057081.08,100,8863887.37,100,
24,2018,12174485.97,102.13,3242394.32,106.06,8932091.65,100.77,
24,2017,11960202.78,100.33,3106827.94,101.63,8853374.84,99.88,
24,2016,10331394.41,86.67,3056790.95,99.99,7274603.46,82.07,
24,2015,9199669.92,77.17,2634577.86,86.18,6565092.06,74.07,
24,2014,8218296.23,68.94,2233231.25,73.05,5985064.98,67.52,
24,2013,7172981.57,60.17,2025478.05,66.26,5147503.52,58.07,
24,2021,15103354.39,126.7,3936393.07,128.76,11166961.32,125.98,T
24,2022,15889142.3,133.29,4143784.36,135.55,11745357.94,132.51,T
24,2023,16674930.2,139.88,4351175.64,142.33,12323754.56,139.03,T
24,2024,17460718.1,146.47,4558566.92,149.12,12902151.18,145.56,T
24,2025,18246506.01,153.06,4765958.21,155.9,13480547.8,152.08,T
24,2026,19032293.91,159.65,4973349.49,162.68,14058944.42,158.61,T
24,2027,19818081.81,166.25,5180740.77,169.47,14637341.04,165.13,T
24,2028,20603869.72,172.84,5388132.06,176.25,15215737.66,171.66,T
24,2029,21389657.62,179.43,5595523.34,183.03,15794134.28,178.19,T
24,2030,22175445.52,186.02,5802914.62,189.82,16372530.9,184.71,T
24,2031,22961233.43,192.61,6010305.91,196.6,16950927.52,191.24,T
24,2032,23747021.33,199.2,6217697.19,203.39,17529324.14,197.76,T
24,2033,24532809.23,205.8,6425088.47,210.17,18107720.76,204.29,T
24,2034,25318597.14,212.39,6632479.76,216.95,18686117.38,210.81,T
24,2035,26104385.04,218.98,6839871.04,223.74,19264514,217.34,T
24,2036,26890172.94,225.57,7047262.32,230.52,19842910.62,223.86,T
24,2037,27675960.85,232.16,7254653.61,237.31,20421307.24,230.39,T
24,2038,28461748.75,238.75,7462044.89,244.09,20999703.86,236.91,T
24,2039,29247536.65,245.35,7669436.17,250.87,21578100.48,243.44,T
24,2040,30033324.56,251.94,7876827.46,257.66,22156497.1,249.96,T
24,2041,30819112.46,258.53,8084218.74,264.44,22734893.72,256.49,T
24,2042,31604900.36,265.12,8291610.02,271.23,23313290.34,263.01,T
24,2043,32390688.27,271.71,8499001.31,278.01,23891686.96,269.54,T
24,2044,33176476.17,278.3,8706392.59,284.79,24470083.58,276.06,T
24,2045,33962264.07,284.9,8913783.87,291.58,25048480.2,282.59,T
24,2046,34748051.98,291.49,9121175.16,298.36,25626876.82,289.12,T
24,2047,35533839.88,298.08,9328566.44,305.15,26205273.44,295.64,T
24,2048,36319627.78,304.67,9535957.72,311.93,26783670.06,302.17,T
24,2049,37105415.69,311.26,9743349.01,318.71,27362066.68,308.69,T
24,2050,37891203.59,317.85,9950740.29,325.5,27940463.3,315.22,T
26,2020,5852491.69,97.13,627883.1,92.23,5224608.59,97.75,
26,2019,6025543.1,100,680786.03,100,5344757.07,100,
26,2018,6553269.09,108.76,924382.71,135.78,5628886.38,105.32,
26,2017,6625416.86,109.96,1066244.04,156.62,5559172.82,104.01,
26,2016,6087488.75,101.03,951998.04,139.84,5135490.71,96.08,
26,2015,5759197.12,95.58,860339.03,126.37,4898858.09,91.66,
26,2014,5747875.63,95.39,908306.45,133.42,4839569.18,90.55,
26,2013,5664166.08,94,963093.79,141.47,4701072.29,87.96,
26,2021,5594849.97,92.85,481762.79,70.77,5113087.18,95.67,T
26,2022,5337208.24,88.58,335642.47,49.3,5001565.77,93.58,T
26,2023,5079566.52,84.3,189522.16,27.84,4890044.36,91.49,T
26,2024,4821924.8,80.02,43401.85,6.38,4778522.95,89.41,T
26,2025,4564283.07,75.75,0,0,4667001.54,87.32,T
26,2026,4306641.35,71.47,0,0,4555480.13,85.23,T
26,2027,4048999.63,67.2,0,0,4443958.72,83.15,T
26,2028,3791357.9,62.92,0,0,4332437.31,81.06,T
26,2029,3533716.18,58.65,0,0,4220915.9,78.97,T
26,2030,3276074.46,54.37,0,0,4109394.49,76.89,T
26,2031,3018432.73,50.09,0,0,3997873.08,74.8,T
26,2032,2760791.01,45.82,0,0,3886351.67,72.71,T
26,2033,2503149.29,41.54,0,0,3774830.26,70.63,T
26,2034,2245507.56,37.27,0,0,3663308.85,68.54,T
26,2035,1987865.84,32.99,0,0,3551787.44,66.45,T
26,2036,1730224.12,28.71,0,0,3440266.03,64.37,T
26,2037,1472582.39,24.44,0,0,3328744.62,62.28,T
26,2038,1214940.67,20.16,0,0,3217223.21,60.19,T
26,2039,957298.95,15.89,0,0,3105701.8,58.11,T
26,2040,699657.22,11.61,0,0,2994180.39,56.02,T
26,2041,442015.5,7.34,0,0,2882658.98,53.93,T
26,2042,184373.78,3.06,0,0,2771137.57,51.85,T
26,2043,0,0,0,0,2659616.16,49.76,T
26,2044,0,0,0,0,2548094.75,47.67,T
26,2045,0,0,0,0,2436573.34,45.59,T
26,2046,0,0,0,0,2325051.93,43.5,T
26,2047,0,0,0,0,2213530.52,41.41,T
26,2048,0,0,0,0,2102009.11,39.33,T
26,2049,0,0,0,0,1990487.7,37.24,T
26,2050,0,0,0,0,1878966.29,35.16,T
27,2020,10090.02,102.1,457.64,97.33,9632.38,102.34,
27,2019,9882.01,100,470.19,100,9411.82,100,
27,2018,10509.97,106.35,559.07,118.9,9950.9,105.73,
27,2017,11031.06,111.63,823.06,175.05,10208,108.46,
27,2016,10256.01,103.78,808.07,171.86,9447.94,100.38,
27,2015,9305.45,94.17,68.62,14.59,9236.83,98.14,
27,2021,9776.34,98.93,335.83,71.43,9440.51,100.3,T
27,2022,9462.66,95.76,214.03,45.52,9248.63,98.27,T
27,2023,9148.98,92.58,92.22,19.61,9056.76,96.23,T
27,2024,8835.3,89.41,0,0,8864.89,94.19,T
27,2025,8521.62,86.23,0,0,8673.01,92.15,T
27,2026,8207.94,83.06,0,0,8481.14,90.11,T
27,2027,7894.26,79.89,0,0,8289.27,88.07,T
27,2028,7580.58,76.71,0,0,8097.39,86.03,T
27,2029,7266.9,73.54,0,0,7905.52,84,T
27,2030,6953.22,70.36,0,0,7713.65,81.96,T
27,2031,6639.54,67.19,0,0,7521.77,79.92,T
27,2032,6325.86,64.01,0,0,7329.9,77.88,T
27,2033,6012.18,60.84,0,0,7138.03,75.84,T
27,2034,5698.5,57.67,0,0,6946.15,73.8,T
27,2035,5384.82,54.49,0,0,6754.28,71.76,T
27,2036,5071.14,51.32,0,0,6562.41,69.73,T
27,2037,4757.46,48.14,0,0,6370.53,67.69,T
27,2038,4443.78,44.97,0,0,6178.66,65.65,T
27,2039,4130.1,41.79,0,0,5986.79,63.61,T
27,2040,3816.42,38.62,0,0,5794.91,61.57,T
27,2041,3502.74,35.45,0,0,5603.04,59.53,T
27,2042,3189.06,32.27,0,0,5411.17,57.49,T
27,2043,2875.38,29.1,0,0,5219.29,55.45,T
27,2044,2561.7,25.92,0,0,5027.42,53.42,T
27,2045,2248.02,22.75,0,0,4835.55,51.38,T
27,2046,1934.34,19.57,0,0,4643.67,49.34,T
27,2047,1620.66,16.4,0,0,4451.8,47.3,T
27,2048,1306.98,13.23,0,0,4259.93,45.26,T
27,2049,993.3,10.05,0,0,4068.05,43.22,T
27,2050,679.62,6.88,0,0,3876.18,41.18,T
28,2020,157433.65,77.41,68000.26,70.97,89433.39,83.14,
28,2019,203386.34,100,95811.74,100,107574.6,100,
28,2018,216287.78,106.34,99248.29,103.59,117039.49,108.8,
28,2017,207776.97,102.16,92576.15,96.62,115200.82,107.09,
28,2016,208856.75,102.69,95769.26,99.96,113087.49,105.12,
28,2015,206386.69,101.48,92847.98,96.91,113538.71,105.54,
28,2014,196134.4,96.43,88114.22,91.97,108020.18,100.41,
28,2021,140652.54,69.16,59808.3,62.42,80844.25,75.15,T
28,2022,123871.44,60.9,51616.33,53.87,72255.1,67.17,T
28,2023,107090.33,52.65,43424.37,45.32,63665.96,59.18,T
28,2024,90309.22,44.4,35232.41,36.77,55076.82,51.2,T
28,2025,73528.12,36.15,27040.44,28.22,46487.67,43.21,T
28,2026,56747.01,27.9,18848.48,19.67,37898.53,35.23,T
28,2027,39965.9,19.65,10656.52,11.12,29309.39,27.25,T
28,2028,23184.8,11.4,2464.55,2.57,20720.24,19.26,T
28,2029,6403.69,3.15,0,0,12131.1,11.28,T
28,2030,0,0,0,0,3541.96,3.29,T
28,2031,0,0,0,0,0,0,T
28,2032,0,0,0,0,0,0,T
28,2033,0,0,0,0,0,0,T
28,2034,0,0,0,0,0,0,T
28,2035,0,0,0,0,0,0,T
28,2036,0,0,0,0,0,0,T
28,2037,0,0,0,0,0,0,T
28,2038,0,0,0,0,0,0,T
28,2039,0,0,0,0,0,0,T
28,2040,0,0,0,0,0,0,T
28,2041,0,0,0,0,0,0,T
28,2042,0,0,0,0,0,0,T
28,2043,0,0,0,0,0,0,T
28,2044,0,0,0,0,0,0,T
28,2045,0,0,0,0,0,0,T
28,2046,0,0,0,0,0,0,T
28,2047,0,0,0,0,0,0,T
28,2048,0,0,0,0,0,0,T
28,2049,0,0,0,0,0,0,T
28,2050,0,0,0,0,0,0,T
31,2020,936.09,96.8,103.1,59.82,832.99,104.82,
31,2019,967.01,100,172.35,100,794.66,100,
31,2018,965.24,99.82,131.71,76.42,833.53,104.89,
31,2017,1132.25,117.09,237.38,137.73,894.87,112.61,
31,2021,870.7,90.04,58.34,33.85,812.36,102.23,T
31,2022,805.32,83.28,13.58,7.88,791.74,99.63,T
31,2023,739.93,76.52,0,0,771.11,97.04,T
31,2024,674.54,69.76,0,0,750.48,94.44,T
31,2025,609.16,62.99,0,0,729.86,91.85,T
31,2026,543.77,56.23,0,0,709.23,89.25,T
31,2027,478.38,49.47,0,0,688.6,86.65,T
31,2028,413,42.71,0,0,667.98,84.06,T
31,2029,347.61,35.95,0,0,647.35,81.46,T
31,2030,282.22,29.19,0,0,626.72,78.87,T
31,2031,216.84,22.42,0,0,606.1,76.27,T
31,2032,151.45,15.66,0,0,585.47,73.68,T
31,2033,86.06,8.9,0,0,564.84,71.08,T
31,2034,20.68,2.14,0,0,544.22,68.48,T
31,2035,0,0,0,0,523.59,65.89,T
31,2036,0,0,0,0,502.96,63.29,T
31,2037,0,0,0,0,482.34,60.7,T
31,2038,0,0,0,0,461.71,58.1,T
31,2039,0,0,0,0,441.08,55.51,T
31,2040,0,0,0,0,420.46,52.91,T
31,2041,0,0,0,0,399.83,50.31,T
31,2042,0,0,0,0,379.2,47.72,T
31,2043,0,0,0,0,358.58,45.12,T
31,2044,0,0,0,0,337.95,42.53,T
31,2045,0,0,0,0,317.32,39.93,T
31,2046,0,0,0,0,296.7,37.34,T
31,2047,0,0,0,0,276.07,34.74,T
31,2048,0,0,0,0,255.44,32.14,T
31,2049,0,0,0,0,234.82,29.55,T
31,2050,0,0,0,0,214.19,26.95,T
840,2020,36327.04,80.59,27095.46,76.19,9231.58,97.01,
840,2019,45079.12,100,35563.26,100,9515.86,100,
840,2018,46370.08,102.86,37158.99,104.49,9211.09,96.8,
840,2017,53372.59,118.4,42420.67,119.28,10951.92,115.09,
840,2016,57127.91,126.73,46381.21,130.42,10746.7,112.93,
840,2015,51823.56,114.96,41862.25,117.71,9961.31,104.68,
840,2014,56467.06,125.26,45847.41,128.92,10619.65,111.6,
840,2021,30645.19,67.98,21987.06,61.83,8658.13,90.99,T
840,2022,24963.34,55.38,16878.65,47.46,8084.69,84.96,T
840,2023,19281.49,42.77,11770.25,33.1,7511.24,78.93,T
840,2024,13599.64,30.17,6661.85,18.73,6937.79,72.91,T
840,2025,7917.79,17.56,1553.44,4.37,6364.35,66.88,T
840,2026,2235.94,4.96,0,0,5790.9,60.86,T
840,2027,0,0,0,0,5217.45,54.83,T
840,2028,0,0,0,0,4644.01,48.8,T
840,2029,0,0,0,0,4070.56,42.78,T
840,2030,0,0,0,0,3497.11,36.75,T
840,2031,0,0,0,0,2923.67,30.72,T
840,2032,0,0,0,0,2350.22,24.7,T
840,2033,0,0,0,0,1776.77,18.67,T
840,2034,0,0,0,0,1203.33,12.65,T
840,2035,0,0,0,0,629.88,6.62,T
840,2036,0,0,0,0,56.43,0.59,T
840,2037,0,0,0,0,0,0,T
840,2038,0,0,0,0,0,0,T
840,2039,0,0,0,0,0,0,T
840,2040,0,0,0,0,0,0,T
840,2041,0,0,0,0,0,0,T
840,2042,0,0,0,0,0,0,T
840,2043,0,0,0,0,0,0,T
840,2044,0,0,0,0,0,0,T
840,2045,0,0,0,0,0,0,T
840,2046,0,0,0,0,0,0,T
840,2047,0,0,0,0,0,0,T
840,2048,0,0,0,0,0,0,T
840,2049,0,0,0,0,0,0,T
840,2050,0,0,0,0,0,0,T
896,2020,111334.31,62.23,93019.28,66.69,18315.03,46.46,
896,2019,178899.81,100,139478.44,100,39421.37,100,
896,2018,172672.22,96.52,131741.05,94.45,40931.17,103.83,
896,2017,171827.98,96.05,134705.12,96.58,37122.86,94.17,
896,2016,224135.15,125.29,177155.62,127.01,46979.53,119.17,
896,2015,250401.8,139.97,197888.52,141.88,52513.28,133.21,
896,2014,251115.36,140.37,200005.72,143.4,51109.64,129.65,
896,2021,91169.75,50.96,79124,56.73,12045.75,30.56,T
896,2022,71005.2,39.69,65228.72,46.77,5776.48,14.65,T
896,2023,50840.64,28.42,51333.44,36.8,0,0,T
896,2024,30676.08,17.15,37438.16,26.84,0,0,T
896,2025,10511.53,5.88,23542.88,16.88,0,0,T
896,2026,0,0,9647.6,6.92,0,0,T
896,2027,0,0,0,0,0,0,T
896,2028,0,0,0,0,0,0,T
896,2029,0,0,0,0,0,0,T
896,2030,0,0,0,0,0,0,T
896,2031,0,0,0,0,0,0,T
896,2032,0,0,0,0,0,0,T
896,2033,0,0,0,0,0,0,T
896,2034,0,0,0,0,0,0,T
896,2035,0,0,0,0,0,0,T
896,2036,0,0,0,0,0,0,T
896,2037,0,0,0,0,0,0,T
896,2038,0,0,0,0,0,0,T
896,2039,0,0,0,0,0,0,T
896,2040,0,0,0,0,0,0,T
896,2041,0,0,0,0,0,0,T
896,2042,0,0,0,0,0,0,T
896,2043,0,0,0,0,0,0,T
896,2044,0,0,0,0,0,0,T
896,2045,0,0,0,0,0,0,T
896,2046,0,0,0,0,0,0,T
896,2047,0,0,0,0,0,0,T
896,2048,0,0,0,0,0,0,T
896,2049,0,0,0,0,0,0,T
896,2050,0,0,0,0,0,0,T
1140,2020,241481.29,79.74,198317.81,80.51,43163.48,76.41,
1140,2019,302825.27,100,246334.08,100,56491.19,100,
1140,2018,266889.55,88.13,216558.9,87.91,50330.65,89.09,
1140,2017,268152.21,88.55,217665.32,88.36,50486.89,89.37,
1140,2016,299964.5,99.06,201842.77,81.94,98121.73,173.69,
1140,2015,392626.85,129.65,322857.6,131.06,69769.25,123.5,
1140,2014,422130.62,139.4,349073.68,141.71,73056.94,129.32,
1140,2021,232590.98,76.81,191868.64,77.89,40722.34,72.09,T
1140,2022,223700.68,73.87,185419.47,75.27,38281.21,67.76,T
1140,2023,214810.37,70.94,178970.3,72.65,35840.07,63.44,T
1140,2024,205920.06,68,172521.13,70.04,33398.93,59.12,T
1140,2025,197029.76,65.06,166071.96,67.42,30957.8,54.8,T
1140,2026,188139.45,62.13,159622.79,64.8,28516.66,50.48,T
1140,2027,179249.14,59.19,153173.62,62.18,26075.52,46.16,T
1140,2028,170358.84,56.26,146724.45,59.56,23634.39,41.84,T
1140,2029,161468.53,53.32,140275.28,56.95,21193.25,37.52,T
1140,2030,152578.22,50.38,133826.11,54.33,18752.11,33.19,T
1140,2031,143687.92,47.45,127376.94,51.71,16310.98,28.87,T
1140,2032,134797.61,44.51,120927.77,49.09,13869.84,24.55,T
1140,2033,125907.3,41.58,114478.6,46.47,11428.7,20.23,T
1140,2034,117017,38.64,108029.43,43.85,8987.57,15.91,T
1140,2035,108126.69,35.71,101580.26,41.24,6546.43,11.59,T
1140,2036,99236.38,32.77,95131.09,38.62,4105.29,7.27,T
1140,2037,90346.08,29.83,88681.92,36,1664.16,2.95,T
1140,2038,81455.77,26.9,82232.75,33.38,0,0,T
1140,2039,72565.46,23.96,75783.58,30.76,0,0,T
1140,2040,63675.16,21.03,69334.41,28.15,0,0,T
1140,2041,54784.85,18.09,62885.24,25.53,0,0,T
1140,2042,45894.54,15.16,56436.07,22.91,0,0,T
