統編,分類,子分類,項目,來自公司報告,單位,年份,數值
24004006,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,10726.329499999996
24004006,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,23019.5335
24004006,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,33745.863
52264848,E,溫室氣體排放,範疇一直接排放,,公噸CO2e,2022,1319.7119999999995
52264848,E,溫室氣體排放,範疇二間接排放,,公噸CO2e,2022,26356.572
52264848,E,溫室氣體排放,直接＋間接排放,,公噸CO2e,2022,27676.284
85330636,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
85330636,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
69408876,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
69408876,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
35129100,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
35129100,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
52264848,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
52264848,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
66654986,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
66654986,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
80032530,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
80032530,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
04359789,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
04359789,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
42299452,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
42299452,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
20838245,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
20838245,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
87027821,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
87027821,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
89396315,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
89396315,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
59347422,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,NA
59347422,E,溫室氣體排放,溫室氣體減量承諾,,,2021,未填報
68326665,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,短期目標為2022年減少1%(與前一年相比)
68326665,E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
22269487,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,先核算出溫室氣體量，逐步進行減量，規劃以基準年2021年為基準，每年降低排放強度2%為目標。
22269487,E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
04827138,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,車王電子將2016年度設定為基準年，以2016年為基準年，每仟元產值平均排放3.18公斤CO2e，預定2025年仟元產值平均排放量下降17%。
04827138,E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
03489200,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,以每年度低減2%作為企業溫室氣體排放量減量目標。
03489200,E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
03251108,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,自2019年起設定減量目標，以2019為基準年，設定3%為各年度之目標(2020減少3%、2021減少6%、依此類推)
03251108,E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
59334664,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,目標於2025年碳排放量下降40%。
59334664,E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
16992625,E,溫室氣體排放,溫室氣體減量目標說明,,,2021,本公司在節能方面，透過持續的監控系統及生產單位自主管理，使生產單位的電力消耗日益降低，達到能源的有效利用，以年整體用電密集度下降5%及年整體排碳密集度下降5%為目標。
16992625,E,溫室氣體排放,溫室氣體減量承諾,,,2021,有減碳目標
