統編,年份,Tot變化
11686106,2020,83.7834386
11686106,2019,87.68107097
11686106,2018,105.9219403
11686106,2021,71.45598603
11686106,2022,79.10623554
11686106,2023,62.98179535
11686106,2024,60.70116022
11686106,2025,55.45964814
11686106,2026,39.34166333
11686106,2027,36.59773558
11686106,2028,22.94554991
11686106,2029,16.2533233
11686106,2030,10.22882248
11686106,2031,1.018565655
11686106,2032,0
11686106,2033,0
11686106,2034,0
11686106,2035,0
11686106,2036,0
11686106,2037,0
11686106,2038,0
11686106,2039,0
11686106,2040,0
11686106,2041,0
11686106,2042,0
11686106,2043,0
11686106,2044,0
11686106,2045,0
11686106,2046,0
11686106,2047,0
11686106,2048,0
11686106,2049,0
11686106,2050,0
58650902,2020,94.95474378
58650902,2019,109.0739087
58650902,2018,120.4095143
58650902,2017,102.7119695
58650902,2016,126.6526566
58650902,2015,146.4568593
58650902,2014,142.1877797
58650902,2013,136.9175731
58650902,2021,84.41878518
58650902,2022,97.75637613
58650902,2023,95.04767415
58650902,2024,78.19818223
58650902,2025,107.1481749
58650902,2026,96.83887036
58650902,2027,92.32848066
58650902,2028,98.26816995
58650902,2029,76.00259182
58650902,2030,80.54094869
58650902,2031,64.31538667
58650902,2032,78.54501312
58650902,2033,79.37484613
58650902,2034,73.30033968
58650902,2035,58.30853318
58650902,2036,74.55309742
58650902,2037,54.18811727
58650902,2038,68.51885901
58650902,2039,71.78647928
58650902,2040,55.21295799
58650902,2041,64.93232459
58650902,2042,56.64879493
58650902,2043,58.20374011
58650902,2044,61.15968846
58650902,2045,45.35679288
58650902,2046,54.65234922
58650902,2047,42.96130218
58650902,2048,54.35387256
58650902,2049,37.54567245
58650902,2050,39.8884062
75370905,2020,110.3937581
75370905,2019,85.67135074
75370905,2018,104.276844
75370905,2017,117.9637703
75370905,2016,102.2271303
75370905,2015,117.1215605
75370905,2014,93.88846052
75370905,2021,83.83568177
75370905,2022,101.4337182
75370905,2023,78.80566207
75370905,2024,90.25076483
75370905,2025,89.02579983
75370905,2026,73.14336304
75370905,2027,85.66851737
75370905,2028,91.74381442
