分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,1129
S,員工薪資,薪資中位數,仟元,2020,948
S,員工薪資,平均薪資,仟元,2019,989
S,員工薪資,薪資中位數,仟元,2019,830
S,員工薪資,平均薪資,仟元,2018,1002
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,813404930
G,,資本額,元,2019,813404930
G,收入、成本與淨利,營業收入,仟元,2020,3125776
G,收入、成本與淨利,營業成本,仟元,2020,2613933
G,收入、成本與淨利,營業費用,仟元,2020,271902
G,收入、成本與淨利,淨利,仟元,2020,196348
G,收入、成本與淨利,營業收入,仟元,2019,2217249
G,收入、成本與淨利,營業成本,仟元,2019,1874686
G,收入、成本與淨利,營業費用,仟元,2019,273564
G,收入、成本與淨利,淨利,仟元,2019,41929
G,收入、成本與淨利,營業收入,仟元,2018,2709090
G,收入、成本與淨利,營業成本,仟元,2018,2209361
G,收入、成本與淨利,營業費用,仟元,2018,326493
G,收入、成本與淨利,淨利,仟元,2018,159899
G,收入、成本與淨利,營業收入,仟元,2017,2129631
G,收入、成本與淨利,營業成本,仟元,2017,1791314
G,收入、成本與淨利,營業費用,仟元,2017,277179
G,收入、成本與淨利,淨利,仟元,2017,37377
G,收入、成本與淨利,營業收入,仟元,2016,1715438
G,收入、成本與淨利,營業成本,仟元,2016,1438594
G,收入、成本與淨利,營業費用,仟元,2016,249563
G,收入、成本與淨利,淨利,仟元,2016,70741
