分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,648
S,員工薪資,薪資中位數,仟元,2020,570
S,員工薪資,平均薪資,仟元,2019,619
S,員工薪資,薪資中位數,仟元,2019,528
S,員工薪資,平均薪資,仟元,2018,601
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1445480000
G,,資本額,元,2019,1445480000
G,收入、成本與淨利,營業收入,仟元,2020,5478884
G,收入、成本與淨利,營業成本,仟元,2020,5097190
G,收入、成本與淨利,營業費用,仟元,2020,488357
G,收入、成本與淨利,淨利,仟元,2020,-110627
G,收入、成本與淨利,營業收入,仟元,2019,4037141
G,收入、成本與淨利,營業成本,仟元,2019,3681050
G,收入、成本與淨利,營業費用,仟元,2019,527152
G,收入、成本與淨利,淨利,仟元,2019,-207225
G,收入、成本與淨利,營業收入,仟元,2018,4643051
G,收入、成本與淨利,營業成本,仟元,2018,4363853
G,收入、成本與淨利,營業費用,仟元,2018,674425
G,收入、成本與淨利,淨利,仟元,2018,-386785
G,收入、成本與淨利,營業收入,仟元,2017,5978055
G,收入、成本與淨利,營業成本,仟元,2017,5207979
G,收入、成本與淨利,營業費用,仟元,2017,638037
G,收入、成本與淨利,淨利,仟元,2017,98008
G,收入、成本與淨利,營業收入,仟元,2016,6171727
G,收入、成本與淨利,營業成本,仟元,2016,5407817
G,收入、成本與淨利,營業費用,仟元,2016,660998
G,收入、成本與淨利,淨利,仟元,2016,58947
