分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,488
S,員工薪資,薪資中位數,仟元,2020,402
S,員工薪資,平均薪資,仟元,2019,502
S,員工薪資,薪資中位數,仟元,2019,415
S,員工薪資,平均薪資,仟元,2018,487
S,員工薪資,薪資中位數,仟元,2018,NaN
G,收入、成本與淨利,營業收入,仟元,2020,917470
G,收入、成本與淨利,營業成本,仟元,2020,922558
G,收入、成本與淨利,營業費用,仟元,2020,116795
G,收入、成本與淨利,淨利,仟元,2020,-57906
G,收入、成本與淨利,營業收入,仟元,2019,1370531
G,收入、成本與淨利,營業成本,仟元,2019,1299837
G,收入、成本與淨利,營業費用,仟元,2019,130861
G,收入、成本與淨利,淨利,仟元,2019,-40278
G,收入、成本與淨利,營業收入,仟元,2018,1572270
G,收入、成本與淨利,營業成本,仟元,2018,1490830
G,收入、成本與淨利,營業費用,仟元,2018,128927
G,收入、成本與淨利,淨利,仟元,2018,-24156
G,收入、成本與淨利,營業收入,仟元,2017,1609971
G,收入、成本與淨利,營業成本,仟元,2017,1510224
G,收入、成本與淨利,營業費用,仟元,2017,124524
G,收入、成本與淨利,淨利,仟元,2017,12441
G,收入、成本與淨利,營業收入,仟元,2016,1677198
G,收入、成本與淨利,營業成本,仟元,2016,1472421
G,收入、成本與淨利,營業費用,仟元,2016,144303
G,收入、成本與淨利,淨利,仟元,2016,62840
