分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,1194
S,員工薪資,薪資中位數,仟元,2020,1101
S,員工薪資,平均薪資,仟元,2019,1182
S,員工薪資,薪資中位數,仟元,2019,1111
S,員工薪資,平均薪資,仟元,2018,1062
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1780099610
G,,資本額,元,2019,1780099610
G,營運狀況,營業收入,仟元,2020,2619977
G,營運狀況,營業成本,仟元,2020,1953708
G,營運狀況,營業費用,仟元,2020,539926
G,營運狀況,淨利,仟元,2020,341504
G,營運狀況,營業收入,仟元,2019,2322116
G,營運狀況,營業成本,仟元,2019,1746791
G,營運狀況,營業費用,仟元,2019,519148
G,營運狀況,淨利,仟元,2019,326122
G,營運狀況,營業收入,仟元,2018,2564457
G,營運狀況,營業成本,仟元,2018,1930122
G,營運狀況,營業費用,仟元,2018,457354
G,營運狀況,淨利,仟元,2018,176265
G,營運狀況,營業收入,仟元,2017,2381145
G,營運狀況,營業成本,仟元,2017,1779340
G,營運狀況,營業費用,仟元,2017,483144
G,營運狀況,淨利,仟元,2017,225630
G,營運狀況,營業收入,仟元,2016,2047723
G,營運狀況,營業成本,仟元,2016,1546413
G,營運狀況,營業費用,仟元,2016,433947
G,營運狀況,淨利,仟元,2016,141772
