分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,1620
S,員工薪資,薪資中位數,仟元,2020,1503
S,員工薪資,平均薪資,仟元,2019,1220
S,員工薪資,薪資中位數,仟元,2019,1119
S,員工薪資,平均薪資,仟元,2018,1448
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,2261682000
G,,資本額,元,2019,2261682000
G,收入、成本與淨利,營業收入,仟元,2020,5614539
G,收入、成本與淨利,營業成本,仟元,2020,2987604
G,收入、成本與淨利,營業費用,仟元,2020,1470272
G,收入、成本與淨利,淨利,仟元,2020,1048117
G,收入、成本與淨利,營業收入,仟元,2019,4584105
G,收入、成本與淨利,營業成本,仟元,2019,2348390
G,收入、成本與淨利,營業費用,仟元,2019,1266731
G,收入、成本與淨利,淨利,仟元,2019,922313
G,收入、成本與淨利,營業收入,仟元,2018,4862807
G,收入、成本與淨利,營業成本,仟元,2018,2455833
G,收入、成本與淨利,營業費用,仟元,2018,1283620
G,收入、成本與淨利,淨利,仟元,2018,1070366
G,收入、成本與淨利,營業收入,仟元,2017,4614917
G,收入、成本與淨利,營業成本,仟元,2017,2425457
G,收入、成本與淨利,營業費用,仟元,2017,1218775
G,收入、成本與淨利,淨利,仟元,2017,935987
G,收入、成本與淨利,營業收入,仟元,2016,4157788
G,收入、成本與淨利,營業成本,仟元,2016,2139643
G,收入、成本與淨利,營業費用,仟元,2016,1182018
G,收入、成本與淨利,淨利,仟元,2016,792722
