分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,1329
S,員工薪資,薪資中位數,仟元,2020,1189
S,員工薪資,平均薪資,仟元,2019,1421
S,員工薪資,薪資中位數,仟元,2019,1179
S,員工薪資,平均薪資,仟元,2018,1694
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,781109000
G,,資本額,元,2019,781109000
G,營運狀況,營業收入,仟元,2020,3328695
G,營運狀況,營業成本,仟元,2020,2656485
G,營運狀況,營業費用,仟元,2020,350633
G,營運狀況,淨利,仟元,2020,281438
G,營運狀況,營業收入,仟元,2019,2294110
G,營運狀況,營業成本,仟元,2019,1836579
G,營運狀況,營業費用,仟元,2019,301480
G,營運狀況,淨利,仟元,2019,156010
G,營運狀況,營業收入,仟元,2018,2034267
G,營運狀況,營業成本,仟元,2018,1564468
G,營運狀況,營業費用,仟元,2018,289745
G,營運狀況,淨利,仟元,2018,157432
G,營運狀況,營業收入,仟元,2017,1714565
G,營運狀況,營業成本,仟元,2017,1214537
G,營運狀況,營業費用,仟元,2017,252425
G,營運狀況,淨利,仟元,2017,204087
