分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,1242
S,員工薪資,薪資中位數,仟元,2020,1199
S,員工薪資,平均薪資,仟元,2019,1350
S,員工薪資,薪資中位數,仟元,2019,1243
S,員工薪資,平均薪資,仟元,2018,1233
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,2793145250
G,,資本額,元,2019,2793145250
G,營運狀況,營業收入,仟元,2020,6102675
G,營運狀況,營業成本,仟元,2020,4580745
G,營運狀況,營業費用,仟元,2020,1436461
G,營運狀況,淨利,仟元,2020,161508
G,營運狀況,營業收入,仟元,2019,6189352
G,營運狀況,營業成本,仟元,2019,5174937
G,營運狀況,營業費用,仟元,2019,1171085
G,營運狀況,淨利,仟元,2019,-3853
G,營運狀況,營業收入,仟元,2018,11193569
G,營運狀況,營業成本,仟元,2018,9875021
G,營運狀況,營業費用,仟元,2018,1227291
G,營運狀況,淨利,仟元,2018,173150
G,營運狀況,營業收入,仟元,2017,10552773
G,營運狀況,營業成本,仟元,2017,9117731
G,營運狀況,營業費用,仟元,2017,1275596
G,營運狀況,淨利,仟元,2017,49587
G,營運狀況,營業收入,仟元,2016,11577046
G,營運狀況,營業成本,仟元,2016,10021302
G,營運狀況,營業費用,仟元,2016,1509985
G,營運狀況,淨利,仟元,2016,100108
