分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,712
S,員工薪資,薪資中位數,仟元,2020,673
S,員工薪資,平均薪資,仟元,2019,621
S,員工薪資,薪資中位數,仟元,2019,606
S,員工薪資,平均薪資,仟元,2018,680
S,員工薪資,薪資中位數,仟元,2018,NaN
G,資本額,資本額,元,2020,2771574960
G,資本額,資本額,元,2019,2771574960
G,營運狀況,營業收入,仟元,2020,1280877
G,營運狀況,營業成本,仟元,2020,980541
G,營運狀況,營業費用,仟元,2020,256275
G,營運狀況,淨利,仟元,2020,43498
G,營運狀況,營業收入,仟元,2019,1350219
G,營運狀況,營業成本,仟元,2019,1025694
G,營運狀況,營業費用,仟元,2019,315430
G,營運狀況,淨利,仟元,2019,48570
G,營運狀況,營業收入,仟元,2018,1574763
G,營運狀況,營業成本,仟元,2018,1230456
G,營運狀況,營業費用,仟元,2018,322065
G,營運狀況,淨利,仟元,2018,150323
G,營運狀況,營業收入,仟元,2017,2598511
G,營運狀況,營業成本,仟元,2017,2124269
G,營運狀況,營業費用,仟元,2017,680432
G,營運狀況,淨利,仟元,2017,32901
G,營運狀況,營業收入,仟元,2016,3434252
G,營運狀況,營業成本,仟元,2016,2946734
G,營運狀況,營業費用,仟元,2016,1009463
G,營運狀況,淨利,仟元,2016,766125
