年份,Tot 數值,Tot 變化,Tot1 數值,Tot1 變化,Tot2 數值,Tot2 變化,是預測值
2020,37657.44,103.37,8163.69,63.28,29493.75,125.36,
2019,36428.12,100,12900.97,100,23527.15,100,
2018,35205.84,96.64,12393.59,96.07,22812.25,96.96,
2021,38883.24,106.74,6048.74,46.89,32834.5,139.56,T
2022,40109.04,110.1,3933.79,30.49,36175.25,153.76,T
2023,41334.84,113.47,1818.84,14.1,39516,167.96,T
2024,42560.64,116.83,0,0,42856.75,182.16,T
2025,43786.44,120.2,0,0,46197.5,196.36,T
2026,45012.24,123.56,0,0,49538.25,210.56,T
2027,46238.04,126.93,0,0,52879,224.76,T
2028,47463.84,130.29,0,0,56219.75,238.96,T
2029,48689.64,133.66,0,0,59560.5,253.16,T
2030,49915.44,137.02,0,0,62901.25,267.36,T
2031,51141.24,140.39,0,0,66242,281.56,T
2032,52367.04,143.75,0,0,69582.75,295.76,T
2033,53592.84,147.12,0,0,72923.5,309.95,T
2034,54818.64,150.48,0,0,76264.25,324.15,T
2035,56044.44,153.85,0,0,79605,338.35,T
2036,57270.24,157.21,0,0,82945.75,352.55,T
2037,58496.04,160.58,0,0,86286.5,366.75,T
2038,59721.84,163.94,0,0,89627.25,380.95,T
2039,60947.64,167.31,0,0,92968,395.15,T
2040,62173.44,170.67,0,0,96308.75,409.35,T
2041,63399.24,174.04,0,0,99649.5,423.55,T
2042,64625.04,177.4,0,0,102990.25,437.75,T
2043,65850.84,180.77,0,0,106331,451.95,T
2044,67076.64,184.13,0,0,109671.75,466.15,T
2045,68302.44,187.5,0,0,113012.5,480.35,T
2046,69528.24,190.86,0,0,116353.25,494.55,T
2047,70754.04,194.23,0,0,119694,508.75,T
2048,71979.84,197.59,0,0,123034.75,522.95,T
2049,73205.64,200.96,0,0,126375.5,537.15,T
2050,74431.44,204.32,0,0,129716.25,551.35,T
