分類,子分類,項目,單位,年份,數值
E,空氣污染物申報,氮氧化物,,2009,15.294
E,空氣污染物申報,硫氧化物,,2009,1.4600000000000002
E,空氣污染物申報,粒狀污染物,,2009,0.75
E,空氣污染物申報,揮發性有機化合物,,2009,0
E,空氣污染物申報,氮氧化物,,2010,20.909000000000002
E,空氣污染物申報,硫氧化物,,2010,21.895999999999997
E,空氣污染物申報,粒狀污染物,,2010,0.349
E,空氣污染物申報,揮發性有機化合物,,2010,0
E,空氣污染物申報,氮氧化物,,2011,91.80499999999998
E,空氣污染物申報,硫氧化物,,2011,40.592
E,空氣污染物申報,粒狀污染物,,2011,2.3369999999999997
E,空氣污染物申報,揮發性有機化合物,,2011,0
E,空氣污染物申報,氮氧化物,,2012,57.95600000000001
E,空氣污染物申報,硫氧化物,,2012,44.946999999999996
E,空氣污染物申報,粒狀污染物,,2012,2.101
E,空氣污染物申報,揮發性有機化合物,,2012,0
E,空氣污染物申報,氮氧化物,,2013,31.172999999999995
E,空氣污染物申報,硫氧化物,,2013,23.67
E,空氣污染物申報,粒狀污染物,,2013,5.061999999999999
E,空氣污染物申報,揮發性有機化合物,,2013,0
E,空氣污染物申報,氮氧化物,,2014,35.463
E,空氣污染物申報,硫氧化物,,2014,33.111000000000004
E,空氣污染物申報,粒狀污染物,,2014,2.437
E,空氣污染物申報,揮發性有機化合物,,2014,0
E,空氣污染物申報,氮氧化物,,2015,27.043999999999997
E,空氣污染物申報,硫氧化物,,2015,25.752000000000002
E,空氣污染物申報,粒狀污染物,,2015,1.8000000000000003
E,空氣污染物申報,揮發性有機化合物,,2015,0
E,空氣污染物申報,氮氧化物,,2016,23.907000000000004
E,空氣污染物申報,硫氧化物,,2016,16.082
E,空氣污染物申報,粒狀污染物,,2016,1.476
E,空氣污染物申報,揮發性有機化合物,,2016,0
E,空氣污染物申報,苯,,2017,0
E,空氣污染物申報,四氯化碳,,2017,0
E,空氣污染物申報,1-1-二氯乙烷,,2017,0
E,空氣污染物申報,1-2-二氯乙烷,,2017,0
E,空氣污染物申報,戴奧辛,,2017,0
E,空氣污染物申報,乙苯,,2017,0
E,空氣污染物申報,二氯甲烷,,2017,0
