分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,475
S,員工薪資,薪資中位數,仟元,2020,447
S,員工薪資,平均薪資,仟元,2019,472
S,員工薪資,薪資中位數,仟元,2019,445
S,員工薪資,平均薪資,仟元,2018,504
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,2200000000
G,,資本額,元,2019,2200000000
G,收入、成本與淨利,營業收入,仟元,2020,702471
G,收入、成本與淨利,營業成本,仟元,2020,639587
G,收入、成本與淨利,營業費用,仟元,2020,74982
G,收入、成本與淨利,淨利,仟元,2020,58588
G,收入、成本與淨利,營業收入,仟元,2019,790778
G,收入、成本與淨利,營業成本,仟元,2019,776946
G,收入、成本與淨利,營業費用,仟元,2019,78598
G,收入、成本與淨利,淨利,仟元,2019,36405
G,收入、成本與淨利,營業收入,仟元,2018,974924
G,收入、成本與淨利,營業成本,仟元,2018,890439
G,收入、成本與淨利,營業費用,仟元,2018,78109
G,收入、成本與淨利,淨利,仟元,2018,38482
G,收入、成本與淨利,營業收入,仟元,2017,793069
G,收入、成本與淨利,營業成本,仟元,2017,750906
G,收入、成本與淨利,營業費用,仟元,2017,84531
G,收入、成本與淨利,淨利,仟元,2017,89638
