分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,541
S,員工薪資,薪資中位數,仟元,2020,501
S,員工薪資,平均薪資,仟元,2019,500
S,員工薪資,薪資中位數,仟元,2019,459
S,員工薪資,平均薪資,仟元,2018,476
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1387410000
G,,資本額,元,2019,1387410000
G,收入、成本與淨利,營業收入,仟元,2020,1371127
G,收入、成本與淨利,營業成本,仟元,2020,1316067
G,收入、成本與淨利,營業費用,仟元,2020,124406
G,收入、成本與淨利,淨利,仟元,2020,-56832
G,收入、成本與淨利,營業收入,仟元,2019,1241395
G,收入、成本與淨利,營業成本,仟元,2019,1199780
G,收入、成本與淨利,營業費用,仟元,2019,160796
G,收入、成本與淨利,淨利,仟元,2019,-92998
G,收入、成本與淨利,營業收入,仟元,2018,1690826
G,收入、成本與淨利,營業成本,仟元,2018,1499384
G,收入、成本與淨利,營業費用,仟元,2018,179720
G,收入、成本與淨利,淨利,仟元,2018,50414
