分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,662
S,員工薪資,薪資中位數,仟元,2020,567
S,員工薪資,平均薪資,仟元,2019,829
S,員工薪資,薪資中位數,仟元,2019,683
S,員工薪資,平均薪資,仟元,2018,783
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,526471550
G,,資本額,元,2019,526471550
G,營運狀況,營業收入,仟元,2020,1704031
G,營運狀況,營業成本,仟元,2020,1378064
G,營運狀況,營業費用,仟元,2020,292322
G,營運狀況,淨利,仟元,2020,59832
G,營運狀況,營業收入,仟元,2019,2816190
G,營運狀況,營業成本,仟元,2019,1967670
G,營運狀況,營業費用,仟元,2019,375049
G,營運狀況,淨利,仟元,2019,350824
G,營運狀況,營業收入,仟元,2018,2279430
G,營運狀況,營業成本,仟元,2018,1574907
G,營運狀況,營業費用,仟元,2018,341892
G,營運狀況,淨利,仟元,2018,301004
G,營運狀況,營業收入,仟元,2017,1748048
G,營運狀況,營業成本,仟元,2017,1257280
G,營運狀況,營業費用,仟元,2017,244127
G,營運狀況,淨利,仟元,2017,185140
G,營運狀況,營業收入,仟元,2016,1637938
G,營運狀況,營業成本,仟元,2016,1107496
G,營運狀況,營業費用,仟元,2016,253880
G,營運狀況,淨利,仟元,2016,221238
