分類,子分類,項目,單位,年份,數值
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2014,131665.69
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2014,174350.87
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2015,130254.63999999998
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2015,182860.02
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2016,131313.59
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2016,183885.92
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2016,915.3380933698578
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2017,125601.72
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2017,189746.4
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2017,863.084433917376
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2018,110322.20000000001
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2018,173644.94
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2018,668.2534659599712
E,溫室氣體排放,範疇一直接排放,公噸CO2e,2019,106518.94999999998
E,溫室氣體排放,範疇二間接排放,公噸CO2e,2019,162921.21
E,溫室氣體排放,碳密集度,公噸CO2e/億元,2019,709.2575054398575
S,員工薪資,平均薪資,仟元,2020,639
S,員工薪資,薪資中位數,仟元,2020,549
S,員工薪資,平均薪資,仟元,2019,655
S,員工薪資,薪資中位數,仟元,2019,567
S,員工薪資,平均薪資,仟元,2018,742
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,16184092910
G,,資本額,元,2019,16184092910
G,營運狀況,營業收入,仟元,2020,32128967
G,營運狀況,營業成本,仟元,2020,NaN
G,營運狀況,營業費用,仟元,2020,3277623
G,營運狀況,淨利,仟元,2020,3639884
G,營運狀況,營業收入,仟元,2019,37989046
G,營運狀況,營業成本,仟元,2019,NaN
G,營運狀況,營業費用,仟元,2019,3138493
G,營運狀況,淨利,仟元,2019,2251393
G,營運狀況,營業收入,仟元,2018,42493927
G,營運狀況,營業成本,仟元,2018,38858219
G,營運狀況,營業費用,仟元,2018,3197894
G,營運狀況,淨利,仟元,2018,2862093
G,營運狀況,營業收入,仟元,2017,36537343
G,營運狀況,營業成本,仟元,2017,34962834
G,營運狀況,營業費用,仟元,2017,2935025
G,營運狀況,淨利,仟元,2017,1129706
G,營運狀況,營業收入,仟元,2016,34435310
G,營運狀況,營業成本,仟元,2016,33176612
G,營運狀況,營業費用,仟元,2016,2673612
G,營運狀況,淨利,仟元,2016,954566
