年份,Tot數值,Tot變化,Tot1數值,Tot1變化,Tot2數值,Tot2變化,是預測值
2020,64719.35,98.32,42920.9,95.42,21798.45,104.59,
2019,65823.88,100,44982.16,100,20841.72,100,
2018,70101.97,106.5,47593.59,105.81,22508.38,108,
2017,75815.92,115.18,52278.45,116.22,23537.47,112.93,
2016,70891.49,107.7,48298.53,107.37,22592.96,108.4,
2015,58037.15,88.17,36373.52,80.86,21663.63,103.94,
2014,66804.55,101.49,44098.12,98.03,22706.43,108.95,
2013,69381.77,105.41,46012.1,102.29,23369.67,112.13,
2021,61020.49,92.7,39801.72,88.48,21218.78,101.81,T
2022,57321.64,87.08,36682.53,81.55,20639.1,99.03,T
2023,53622.78,81.46,33563.35,74.61,20059.43,96.25,T
2024,49923.92,75.84,30444.17,67.68,19479.76,93.47,T
2025,46225.07,70.23,27324.98,60.75,18900.08,90.68,T
2026,42526.21,64.61,24205.8,53.81,18320.41,87.9,T
2027,38827.35,58.99,21086.62,46.88,17740.74,85.12,T
2028,35128.5,53.37,17967.43,39.94,17161.06,82.34,T
2029,31429.64,47.75,14848.25,33.01,16581.39,79.56,T
2030,27730.78,42.13,11729.07,26.07,16001.72,76.78,T
2031,24031.93,36.51,8609.88,19.14,15422.04,74,T
2032,20333.07,30.89,5490.7,12.21,14842.37,71.21,T
2033,16634.21,25.27,2371.52,5.27,14262.7,68.43,T
2034,12935.36,19.65,0,0,13683.02,65.65,T
2035,9236.5,14.03,0,0,13103.35,62.87,T
2036,5537.64,8.41,0,0,12523.68,60.09,T
2037,1838.79,2.79,0,0,11944,57.31,T
2038,0,0,0,0,11364.33,54.53,T
2039,0,0,0,0,10784.66,51.75,T
2040,0,0,0,0,10204.98,48.96,T
2041,0,0,0,0,9625.31,46.18,T
2042,0,0,0,0,9045.64,43.4,T
2043,0,0,0,0,8465.96,40.62,T
2044,0,0,0,0,7886.29,37.84,T
2045,0,0,0,0,7306.62,35.06,T
2046,0,0,0,0,6726.94,32.28,T
2047,0,0,0,0,6147.27,29.5,T
2048,0,0,0,0,5567.6,26.71,T
2049,0,0,0,0,4987.92,23.93,T
2050,0,0,0,0,4408.25,21.15,T
2020,11660.28,104.47,560.46,104.22,11099.82,104.49,
2019,11161,100,537.76,100,10623.24,100,
2018,12866.45,115.28,809.14,150.46,12057.31,113.5,
2017,13809.78,123.73,795.21,147.87,13014.57,122.51,
2016,13256.5,118.78,784.16,145.82,12472.34,117.41,
2015,12644.86,113.3,535.07,99.5,12109.79,113.99,
2014,12531.5,112.28,539.96,100.41,11991.54,112.88,
2013,13290.42,119.08,533.16,99.14,12757.26,120.09,
2021,10943.78,98.05,482.21,89.67,10461.57,98.48,T
2022,10227.28,91.63,403.96,75.12,9823.32,92.47,T
2023,9510.78,85.21,325.71,60.57,9185.07,86.46,T
2024,8794.28,78.79,247.46,46.02,8546.82,80.45,T
2025,8077.78,72.38,169.21,31.47,7908.57,74.45,T
2026,7361.28,65.96,90.96,16.91,7270.32,68.44,T
2027,6644.78,59.54,12.71,2.36,6632.07,62.43,T
2028,5928.28,53.12,0,0,5993.82,56.42,T
2029,5211.78,46.7,0,0,5355.57,50.41,T
2030,4495.28,40.28,0,0,4717.32,44.41,T
2031,3778.78,33.86,0,0,4079.07,38.4,T
2032,3062.28,27.44,0,0,3440.82,32.39,T
2033,2345.78,21.02,0,0,2802.57,26.38,T
2034,1629.28,14.6,0,0,2164.32,20.37,T
2035,912.78,8.18,0,0,1526.07,14.37,T
2036,196.28,1.76,0,0,887.82,8.36,T
2037,0,0,0,0,249.57,2.35,T
2038,0,0,0,0,0,0,T
2039,0,0,0,0,0,0,T
2040,0,0,0,0,0,0,T
2041,0,0,0,0,0,0,T
2042,0,0,0,0,0,0,T
2043,0,0,0,0,0,0,T
2044,0,0,0,0,0,0,T
2045,0,0,0,0,0,0,T
2046,0,0,0,0,0,0,T
2047,0,0,0,0,0,0,T
2048,0,0,0,0,0,0,T
2049,0,0,0,0,0,0,T
2050,0,0,0,0,0,0,T
