分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,753
S,員工薪資,薪資中位數,仟元,2020,647
S,員工薪資,平均薪資,仟元,2019,769
S,員工薪資,薪資中位數,仟元,2019,656
S,員工薪資,平均薪資,仟元,2018,806
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,2810839010
G,,資本額,元,2019,2810839010
G,收入、成本與淨利,營業收入,仟元,2020,15760061
G,收入、成本與淨利,營業成本,仟元,2020,12826953
G,收入、成本與淨利,營業費用,仟元,2020,2039186
G,收入、成本與淨利,淨利,仟元,2020,608006
G,收入、成本與淨利,營業收入,仟元,2019,18117631
G,收入、成本與淨利,營業成本,仟元,2019,14548065
G,收入、成本與淨利,營業費用,仟元,2019,2188155
G,收入、成本與淨利,淨利,仟元,2019,1348324
G,收入、成本與淨利,營業收入,仟元,2018,19082734
G,收入、成本與淨利,營業成本,仟元,2018,15283835
G,收入、成本與淨利,營業費用,仟元,2018,2202883
G,收入、成本與淨利,淨利,仟元,2018,1492503
G,收入、成本與淨利,營業收入,仟元,2017,18686869
G,收入、成本與淨利,營業成本,仟元,2017,15260603
G,收入、成本與淨利,營業費用,仟元,2017,2182659
G,收入、成本與淨利,淨利,仟元,2017,932532
G,收入、成本與淨利,營業收入,仟元,2016,17937980
G,收入、成本與淨利,營業成本,仟元,2016,14674785
G,收入、成本與淨利,營業費用,仟元,2016,2210237
G,收入、成本與淨利,淨利,仟元,2016,938938
