分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,974
S,員工薪資,薪資中位數,仟元,2020,809
S,員工薪資,平均薪資,仟元,2019,907
S,員工薪資,薪資中位數,仟元,2019,751
S,員工薪資,平均薪資,仟元,2018,756
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1119470630
G,,資本額,元,2019,1119470630
G,收入、成本與淨利,營業收入,仟元,2020,15900157
G,收入、成本與淨利,營業成本,仟元,2020,8990105
G,收入、成本與淨利,營業費用,仟元,2020,2351834
G,收入、成本與淨利,淨利,仟元,2020,3041011
G,收入、成本與淨利,營業收入,仟元,2019,12045811
G,收入、成本與淨利,營業成本,仟元,2019,6390884
G,收入、成本與淨利,營業費用,仟元,2019,2278211
G,收入、成本與淨利,淨利,仟元,2019,2523239
G,收入、成本與淨利,營業收入,仟元,2018,7914252
G,收入、成本與淨利,營業成本,仟元,2018,4847836
G,收入、成本與淨利,營業費用,仟元,2018,1826482
G,收入、成本與淨利,淨利,仟元,2018,903088
G,收入、成本與淨利,營業收入,仟元,2017,8007808
G,收入、成本與淨利,營業成本,仟元,2017,4736801
G,收入、成本與淨利,營業費用,仟元,2017,1731748
G,收入、成本與淨利,淨利,仟元,2017,1033447
G,收入、成本與淨利,營業收入,仟元,2016,7030362
G,收入、成本與淨利,營業成本,仟元,2016,5283395
G,收入、成本與淨利,營業費用,仟元,2016,1588783
G,收入、成本與淨利,淨利,仟元,2016,-170585
