分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,531
S,員工薪資,薪資中位數,仟元,2020,445
S,員工薪資,平均薪資,仟元,2019,555
S,員工薪資,薪資中位數,仟元,2019,544
S,員工薪資,平均薪資,仟元,2018,516
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,601956410
G,,資本額,元,2019,601956410
G,收入、成本與淨利,營業收入,仟元,2020,379424
G,收入、成本與淨利,營業成本,仟元,2020,304194
G,收入、成本與淨利,營業費用,仟元,2020,69853
G,收入、成本與淨利,淨利,仟元,2020,22168
G,收入、成本與淨利,營業收入,仟元,2019,431354
G,收入、成本與淨利,營業成本,仟元,2019,323339
G,收入、成本與淨利,營業費用,仟元,2019,70891
G,收入、成本與淨利,淨利,仟元,2019,-55872
G,收入、成本與淨利,營業收入,仟元,2018,444165
G,收入、成本與淨利,營業成本,仟元,2018,311305
G,收入、成本與淨利,營業費用,仟元,2018,62916
G,收入、成本與淨利,淨利,仟元,2018,53406
G,收入、成本與淨利,營業收入,仟元,2017,516047
G,收入、成本與淨利,營業成本,仟元,2017,326991
G,收入、成本與淨利,營業費用,仟元,2017,142324
G,收入、成本與淨利,淨利,仟元,2017,-18320
G,收入、成本與淨利,營業收入,仟元,2016,447951
G,收入、成本與淨利,營業成本,仟元,2016,302657
G,收入、成本與淨利,營業費用,仟元,2016,90302
G,收入、成本與淨利,淨利,仟元,2016,36015
