分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,599
S,員工薪資,薪資中位數,仟元,2020,532
S,員工薪資,平均薪資,仟元,2019,580
S,員工薪資,薪資中位數,仟元,2019,509
S,員工薪資,平均薪資,仟元,2018,578
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,2805260270
G,,資本額,元,2019,2805260270
G,營運狀況,營業收入,仟元,2020,10560947
G,營運狀況,營業成本,仟元,2020,9622919
G,營運狀況,營業費用,仟元,2020,703160
G,營運狀況,淨利,仟元,2020,108351
G,營運狀況,營業收入,仟元,2019,11984206
G,營運狀況,營業成本,仟元,2019,10765124
G,營運狀況,營業費用,仟元,2019,721010
G,營運狀況,淨利,仟元,2019,268254
G,營運狀況,營業收入,仟元,2018,13404359
G,營運狀況,營業成本,仟元,2018,11615748
G,營運狀況,營業費用,仟元,2018,846020
G,營運狀況,淨利,仟元,2018,544078
G,營運狀況,營業收入,仟元,2017,12641864
G,營運狀況,營業成本,仟元,2017,11031872
G,營運狀況,營業費用,仟元,2017,771520
G,營運狀況,淨利,仟元,2017,538110
G,營運狀況,營業收入,仟元,2016,10965673
G,營運狀況,營業成本,仟元,2016,9680242
G,營運狀況,營業費用,仟元,2016,706139
G,營運狀況,淨利,仟元,2016,299340
