分類,子分類,項目,單位,年份,數值
G,,資本額,元,2020,581655440
G,,資本額,元,2019,581655440
G,收入、成本與淨利,營業收入,仟元,2020,677238
G,收入、成本與淨利,營業成本,仟元,2020,277102
G,收入、成本與淨利,營業費用,仟元,2020,560289
G,收入、成本與淨利,淨利,仟元,2020,-51231
G,收入、成本與淨利,營業收入,仟元,2019,821812
G,收入、成本與淨利,營業成本,仟元,2019,299453
G,收入、成本與淨利,營業費用,仟元,2019,574654
G,收入、成本與淨利,淨利,仟元,2019,19475
G,收入、成本與淨利,營業收入,仟元,2018,723510
G,收入、成本與淨利,營業成本,仟元,2018,294937
G,收入、成本與淨利,營業費用,仟元,2018,542245
G,收入、成本與淨利,淨利,仟元,2018,-54688
G,收入、成本與淨利,營業收入,仟元,2017,841732
G,收入、成本與淨利,營業成本,仟元,2017,301903
G,收入、成本與淨利,營業費用,仟元,2017,470209
G,收入、成本與淨利,淨利,仟元,2017,19283
G,收入、成本與淨利,營業收入,仟元,2016,868796
G,收入、成本與淨利,營業成本,仟元,2016,382473
G,收入、成本與淨利,營業費用,仟元,2016,517404
G,收入、成本與淨利,淨利,仟元,2016,50253
