分類,子分類,項目,單位,年份,數值
G,資本額,資本額,元,2020,231886470
G,資本額,資本額,元,2019,231886470
G,營運狀況,營業收入,仟元,2020,79128
G,營運狀況,營業成本,仟元,2020,67325
G,營運狀況,營業費用,仟元,2020,37357
G,營運狀況,淨利,仟元,2020,-29386
G,營運狀況,營業收入,仟元,2019,91302
G,營運狀況,營業成本,仟元,2019,78730
G,營運狀況,營業費用,仟元,2019,54015
G,營運狀況,淨利,仟元,2019,-40921
G,營運狀況,營業收入,仟元,2018,280118
G,營運狀況,營業成本,仟元,2018,196155
G,營運狀況,營業費用,仟元,2018,57273
G,營運狀況,淨利,仟元,2018,28560
G,營運狀況,營業收入,仟元,2017,271314
G,營運狀況,營業成本,仟元,2017,171742
G,營運狀況,營業費用,仟元,2017,57299
G,營運狀況,淨利,仟元,2017,35831
G,營運狀況,營業收入,仟元,2016,219888
G,營運狀況,營業成本,仟元,2016,135433
G,營運狀況,營業費用,仟元,2016,56487
G,營運狀況,淨利,仟元,2016,22778
