分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,725
S,員工薪資,薪資中位數,仟元,2020,608
S,員工薪資,平均薪資,仟元,2019,717
S,員工薪資,薪資中位數,仟元,2019,581
S,員工薪資,平均薪資,仟元,2018,730
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,4290616750
G,,資本額,元,2019,4290616750
G,收入、成本與淨利,營業收入,仟元,2020,11446696
G,收入、成本與淨利,營業成本,仟元,2020,8976600
G,收入、成本與淨利,營業費用,仟元,2020,1258160
G,收入、成本與淨利,淨利,仟元,2020,1197735
G,收入、成本與淨利,營業收入,仟元,2019,13496186
G,收入、成本與淨利,營業成本,仟元,2019,10408655
G,收入、成本與淨利,營業費用,仟元,2019,1306521
G,收入、成本與淨利,淨利,仟元,2019,1728967
G,收入、成本與淨利,營業收入,仟元,2018,17615965
G,收入、成本與淨利,營業成本,仟元,2018,14085715
G,收入、成本與淨利,營業費用,仟元,2018,1390496
G,收入、成本與淨利,淨利,仟元,2018,2081995
G,收入、成本與淨利,營業收入,仟元,2017,20964853
G,收入、成本與淨利,營業成本,仟元,2017,15438009
G,收入、成本與淨利,營業費用,仟元,2017,1529196
G,收入、成本與淨利,淨利,仟元,2017,2655717
G,收入、成本與淨利,營業收入,仟元,2016,22104915
G,收入、成本與淨利,營業成本,仟元,2016,17153222
G,收入、成本與淨利,營業費用,仟元,2016,1643948
G,收入、成本與淨利,淨利,仟元,2016,2882637
