分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,2018
S,員工薪資,薪資中位數,仟元,2020,1740
S,員工薪資,平均薪資,仟元,2019,1534
S,員工薪資,薪資中位數,仟元,2019,1360
S,員工薪資,平均薪資,仟元,2018,1622
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,4158542060
G,,資本額,元,2019,4158542060
G,營運狀況,營業收入,仟元,2020,13800348
G,營運狀況,營業成本,仟元,2020,10371572
G,營運狀況,營業費用,仟元,2020,2398039
G,營運狀況,淨利,仟元,2020,983458
G,營運狀況,營業收入,仟元,2019,9160261
G,營運狀況,營業成本,仟元,2019,7167061
G,營運狀況,營業費用,仟元,2019,2333856
G,營運狀況,淨利,仟元,2019,-205680
G,營運狀況,營業收入,仟元,2018,9919368
G,營運狀況,營業成本,仟元,2018,8357068
G,營運狀況,營業費用,仟元,2018,2237356
G,營運狀況,淨利,仟元,2018,-2488118
G,營運狀況,營業收入,仟元,2017,10798334
G,營運狀況,營業成本,仟元,2017,8528149
G,營運狀況,營業費用,仟元,2017,2107970
G,營運狀況,淨利,仟元,2017,-103210
G,營運狀況,營業收入,仟元,2016,11018225
G,營運狀況,營業成本,仟元,2016,8751788
G,營運狀況,營業費用,仟元,2016,2058953
G,營運狀況,淨利,仟元,2016,210109
