分類,子分類,項目,單位,年份,數值
S,員工薪資,平均薪資,仟元,2020,494
S,員工薪資,薪資中位數,仟元,2020,472
S,員工薪資,平均薪資,仟元,2019,463
S,員工薪資,薪資中位數,仟元,2019,438
S,員工薪資,平均薪資,仟元,2018,466
S,員工薪資,薪資中位數,仟元,2018,NaN
G,,資本額,元,2020,1141820790
G,,資本額,元,2019,1141820790
G,收入、成本與淨利,營業收入,仟元,2020,2085142
G,收入、成本與淨利,營業成本,仟元,2020,1636461
G,收入、成本與淨利,營業費用,仟元,2020,118691
G,收入、成本與淨利,淨利,仟元,2020,263449
G,收入、成本與淨利,營業收入,仟元,2019,1565568
G,收入、成本與淨利,營業成本,仟元,2019,1203556
G,收入、成本與淨利,營業費用,仟元,2019,90784
G,收入、成本與淨利,淨利,仟元,2019,208704
G,收入、成本與淨利,營業收入,仟元,2018,1795198
G,收入、成本與淨利,營業成本,仟元,2018,1395088
G,收入、成本與淨利,營業費用,仟元,2018,88944
G,收入、成本與淨利,淨利,仟元,2018,225953
G,收入、成本與淨利,營業收入,仟元,2017,1272930
G,收入、成本與淨利,營業成本,仟元,2017,1046648
G,收入、成本與淨利,營業費用,仟元,2017,75392
G,收入、成本與淨利,淨利,仟元,2017,74797
G,收入、成本與淨利,營業收入,仟元,2016,897574
G,收入、成本與淨利,營業成本,仟元,2016,754614
G,收入、成本與淨利,營業費用,仟元,2016,154024
G,收入、成本與淨利,淨利,仟元,2016,-56757
