公司代號,公司名稱,資料年度,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,內容,(二)企業受氣候變遷之實質風險,內容,(三)氣候變遷提供企業之機會,內容,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,內容,二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,內容,(二)企業溫室氣體排放量減量目標,內容,(三)企業溫室氣體排放量減量之預算與計畫,內容,(四)企業產品或服務帶給客戶或消費者之減碳效果,內容
1240,茂生農經,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,無。,(二)企業受氣候變遷之實質風險,無。,(三)氣候變遷提供企業之機會,無特別明顯。,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,否。,二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,1.宣導全公司員工參與節能減碳活動，以減少溫室氣體排放。 2.定期檢修或汰換機器設備，並持續推動節約能源措施。 3.遵行環保法規求及其他相關規定。,(二)企業溫室氣體排放量減量目標,遵行環保法規求及其他相關規定且排放量比例一年比一年低。,(三)企業溫室氣體排放量減量之預算與計畫,目前編列預算添購節能設備。,(四)企業產品或服務帶給客戶或消費者之減碳效果,供特別影響。
1259,安心,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,制定溫室氣體排放相關法規，開徵溫室氣體排放定價，使營運成本增加,(二)企業受氣候變遷之實質風險,立即性風險： 店鋪基礎設施或總部系統損壞成本升高，導致店鋪無法營業停產，營業額降低，物流配送困難、供應鏈中斷。 長期性風險： 極端氣候農損風險，包括颱風或豪雨造成的淹水災害、坡地災害及海岸災害，形成常態。 氣候變遷導致降雨分布不均，可能提升乾旱的頻率與強度，造成水資源短缺，進而影響農田用水量，導致農產品供應不穩，進而影響供貨穩定及品質。,(三)氣候變遷提供企業之機會,產品和服務： 減少開發牛肉商品、增加其他肉品（雞、魚）餐點，透過餐點的推陳出新（植物基），有助於降低或調適全球因氣候變遷風險所帶來的衝擊。 市場： 順應市場需求，推出新商品（低碳、蔬食）增加收入，將經營模式複製至其他全球市場。 韌性： 因應極端氣候變化，增加不同供應來源，確保供應穩定（數量、品質）。,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,"範疇二：20,726噸二氧化碳約當排放量，未通過外部驗證",二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,為因應氣候變遷與能源供應的潛在危機，安心食品結合經濟、環境、社會等面向，積極執行節能減碳與省水相關專案，並鑑別降低氣候變遷相關之風險，開發低碳蔬食商品與服務，強化氣候韌性與建立永續發展文化。為因應氣候變遷對於企業營運的衝擊與具體呈現氣候變遷的資訊揭露，安心食品自2019年起，依循TCFD公布之氣候相關財務揭露建議書架構，開始針對氣候變遷進行資料蒐集、鑑別、評估財務影響，以降低風險並掌握機會。,(二)企業溫室氣體排放量減量目標,在企業營運範圍未變動之相同基期前提下，每年碳排量以不增加為原則。,(三)企業溫室氣體排放量減量之預算與計畫,依金管會永續發展路徑圖，視規劃時程編列ISO14064-1導入預算。,(四)企業產品或服務帶給客戶或消費者之減碳效果,為提供顧客更便捷友善的店內環境，安心食品陸續導入智慧三番(廁所)系統，除了讓顧客一目了然廁所使用狀況，也藉由導入智慧感應系統，提高精準運用照明電力的效果。另外，除了新開店設計裝潢使用環保建材外，同時直接導入具有節能的照明、空調、廚房等設備。每年針對既有店改裝與空調單機陸續汰換，透過逐步汰換能源效率較差的設備，持續提高能源效率，達到節能減碳之目的。
1264,德麥,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,德麥食品(以下稱本公司)非屬「溫室氣體減量及管理法」公告之「第一批應盤查登錄溫室氣體排放量之排放源」，無違反法規規範的風險。但仍將持續關注國內外法規變化，了解法規變化趨勢，做好因應準備。,(二)企業受氣候變遷之實質風險,1.水電供應成本上升降低獲利。 2.消費者環保意識提升，對產品的要求度提高。 3.氣候變遷因應未達社會期待影響公司聲譽。,(三)氣候變遷提供企業之機會,本公司將持續評估氣候變遷對公司未來的潛在風險與機會，推動節能減碳溫室氣體減量，節約用水與垃圾減量。,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,目前無外部驗證。,二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,1.持續進行全員參與節能減碳活動，以減少溫室氣體排放。 2.定期檢修或汰換耗能設備，並持續推動節約能源措施。 3.遵行環保法規、客戶要求及其他相關規定。,(二)企業溫室氣體排放量減量目標,以日常節約能源使用為方向。,(三)企業溫室氣體排放量減量之預算與計畫,因尚未進行盤查及了解廠內排碳量，預計於完成碳盤查後，開始進行減量規劃及預算編列。,(四)企業產品或服務帶給客戶或消費者之減碳效果,目前未對服務於產品進行碳盤查，仍會先針對廠內排碳量先做減量為基礎。
1268,漢來美食,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,漢來美食旗下品牌餐廳地點目前均在國內，公司依金管會發布之「上市櫃公司永續發展路徑圖」 規範，應依所訂時程完成溫室氣體相關資訊揭露。本公司將遵循相關規定，規畫導入ISO 14064-1 碳盤查及後續查證等作業，並以持續關注掌握法規規範面的風險。,(二)企業受氣候變遷之實質風險,公司依「風險管理政策與程序」進行內部風險自評辨識的氣候變遷可能風險有： 1.需求食材的短缺 2.食材成本的異常波動 3.消費者飲食習慣改變、關注婚宴或自助式品牌食材製作浪費或剩食問題,(三)氣候變遷提供企業之機會,漢來美食以廚藝起家，擁有多元與創新的競爭優勢，在經營上也能迅速調整，透過有效率的治理政策 、採購管理、產品研發及品牌定位等因應市場變化，並滿足消費者需求。,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,"漢來美食溫室氣體排放係參考ISO 14064-1溫室氣體盤查標準，採用環保署發布之「溫室氣體排放 係數管理表6.0.4版」進行盤查計算，計算範圍為全台各分公司及中央工廠，針對內部所使用之能源 統計使用量，透過排放係數轉換為溫室氣體排放量。 2021年合計之溫室氣體排放量為11,903.89公噸CO2e，其中範疇一直接溫室氣體排放量為4,072.59 公噸CO2e；範疇二輸入能源之間接溫室氣體排放量為7,849.3公噸CO2e，尚未通過外部驗證。",二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,漢來美食參考環保署及經濟部能源局等相關規範及標準，訂有與節能減碳、溫室氣體減量、減少用水 或其他廢棄物管理有關之「環境及能資源管理政策」，每年進行溫室氣體盤查及追蹤減排成效，其他 因應措施有： 1.內部宣導節約能源：例如節約用水用電。 2.廢棄物管理：含一般性廢棄物、廢水、廢食用油及廚餘管理。 3.綠色採購：包括以控管食材使用量及需求量，減少浪費及運輸過程產生碳排的當地採購；及與有 機農場合作，創造綠色飲食低碳環境。 4.環境理念：包含產品包裝符合綠能概念；拓店/改裝綠建材及環境管理要求供應商遵守雙方企業社 會責任政策條款等。 5.推動餐廳評鑑：包含綠色友善餐廳認證、餐飲業食品安全管制系統（HACCP）衛生評鑑及餐飲衛生 管理分級評核（優良餐廳）。,(二)企業溫室氣體排放量減量目標,漢來美食「環境及能資源管理政策」包含溫室氣體盤查目標為：每年碳排量以不增加為原則。（企業 營運範圍未變動之同基期前提）,(三)企業溫室氣體排放量減量之預算與計畫,產品包裝、拓店/改裝每年視需求編列預算，並視規劃時程編列ISO14064-1導入預算。,(四)企業產品或服務帶給客戶或消費者之減碳效果,1.食材採購以在地廠商及有機認證食材為優先，控管使用量及需求量，以減少浪費及運輸過程產生 的碳排。 2.餐墊紙、產品提袋、禮盒等，均盡可能採用再生紙製品。 3.產品包裝採用無毒環保大豆油墨印製；年節禮盒以空盒可再利用的角度進行研發。 4.減少使用一次性餐具、塑膠提袋及塑膠包裝等，或改用可自然分解之PLA材質產品替代。 5.展店改用節能設備降低環境污染，機電及廚房設備並定期維護保養，以達到最佳使用狀況，減少 能源浪費；裝修採用綠建材及盡量保留自然光，減少環境負擔。
1565,精華,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,本公司所處行業非中高度污染行業，受相關氣候變遷法規規範少，惟全球為因應氣候變遷所造成的風險，相關規定的法規與協定也越來越趨嚴謹，本公司將持續關注國內外相關法規外，也會持續自我要求以符合未來的產業趨勢，完善企業該有的社會責任。,(二)企業受氣候變遷之實質風險,因氣候變遷可能導致水電短缺、原物料調漲，將對本公司直接及間接成本造成負面影響。,(三)氣候變遷提供企業之機會,1.因應氣候變遷，市場對於環境友善的產品需求增加，本公司將持續投入綠色包材之轉換，提升競爭力。 2.持續投入節能設備之建置，進行數據管控及提高能源效率，以降低成本提升營運競爭力。,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,尚無相關資料，依金管會發布之「上市櫃公司永續發展路徑圖」，本公司將依所屬階段(第三)於2026年完成溫室氣體盤查，並於2028年完成查證。,二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,1.適時調整冷氣開放時間及溫度，且優先選購環保標章及節能標章產品，期能透過節能減碳降低氣候變遷對營運活動之影響。 2.持續投入節能設備之建置及廢水再利用，降低氣候變遷水電短缺之影響。,(二)企業溫室氣體排放量減量目標,將規劃以2024年為基準年，進行碳盤查，再訂定每年的減量目標。,(三)企業溫室氣體排放量減量之預算與計畫,因尚未進行盤查及了解廠內碳排量，預計於完成碳盤查後，開始進行減量規劃及預算編列。,(四)企業產品或服務帶給客戶或消費者之減碳效果,目前未對產品或服務進行碳盤查，將擬針對廠內碳排量減量優先進行。
1569,濱川,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,因應氣候變遷，全球相關法規與協定也日趨嚴謹，將直接衝擊並影響企業日後營運之規劃。 而面對溫室氣體排放總量管制乃至日後能源稅、碳稅之訂定與徵收等因素，則將會加重企業 的營運成本。,(二)企業受氣候變遷之實質風險,氣候變遷所致之極端氣候將造成熱浪、暴雨、缺水等災害發生頻率增加，可能衝擊產業供應 鏈及廠區營運需求或增加災害復原成本。,(三)氣候變遷提供企業之機會,碳管理與氣候變遷議題已成趨勢，本公司積極進行減碳作為以符合當地與國際法規，同時符 合品牌客戶的期待並超越其需求，以提升環境保護績效並提高公司競爭力。,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,企業溫室氣體排放量尚未通過外部驗證。,二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,本公司將致力減少環境污染和保護節約自然資源、實施垃圾分類、資源回收、節能減碳等並 採用省水省電設備，以減低對環境之衝擊，共同營造低碳環境。,(二)企業溫室氣體排放量減量目標,未來將適時予以訂定。,(三)企業溫室氣體排放量減量之預算與計畫,未來將適時予以訂定。,(四)企業產品或服務帶給客戶或消費者之減碳效果,本公司之產品運用在筆記型電腦及平板等電子產品中，非屬終端消費性產品；除了依客戶需 求生產產品外，同時亦持續進行生產製造過程的節能與減廢，以降低對環境所造成的衝擊， 減少單位產品所消耗的資源與污染物，為客戶及社會創造減碳環保效益。
1570,力肯,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,本公司非屬「溫室氣體減量及管理法」公告之「第一批應盤查登錄溫室氣體排放量之排放源」，尚無違反法規規範的風險。惟仍將持續關注並推動企業溫室氣體排放減量，及早做好因應準備。,(二)企業受氣候變遷之實質風險,1.氣候變遷所引起之氣候異常，如旱災、高溫、嚴寒，進而導致水資源缺乏、電力供應吃緊，皆可能增加企業相關營運成本。 2.國際間環保意識提升，對企業營運及產品之節能、減碳要求度提高。 3.政策施行導致企業營運成本增加。,(三)氣候變遷提供企業之機會,本公司將持續評估氣候變遷對公司未來的潛在風險與機會，投入研發更為節能之產品。,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,內部盤查年度：110年度 範疇一：直接排放26.5185噸CO2e。 範疇二：間接排放473.126噸CO2e。 僅完成內部盤查，未經外部驗證。,二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,持續透過節電與節水，以減少溫室氣體排放。,(二)企業溫室氣體排放量減量目標,目前尚處溫室氣體排放內部自行盤查階段，預計於完成查證後，據以訂定目標。,(三)企業溫室氣體排放量減量之預算與計畫,目前尚處溫室氣體排放內部自行盤查階段，預計於完成查證後，據以訂定預算與計畫。,(四)企業產品或服務帶給客戶或消費者之減碳效果,本公司釘槍產品係木工工具，樹木成長過程吸收許多二氧化碳，樹木砍伐後收成之木材，可用本公司產品做成木工傢俱、所遺留砍伐後的林地，可以繼續種樹，持續吸收二氧化碳，生生不息。
1599,宏佳騰,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,本公司非屬行政院環保署「公私場所應申報溫室氣體排放量之固定污染源」公告之第一批及第二批公私場所應申報溫室氣體排放量之固定污染源，無違反法規規範的風險。 本公司持續關注國內外相關法規變化，瞭解法規趨勢以提早因應，善盡企業在環境保護的責任。,(二)企業受氣候變遷之實質風險,溫室效應造成地球暖化所發生之極端氣候，停水、停電可能造成停班間接增加本公司營運成本。,(三)氣候變遷提供企業之機會,本公司2019年推出電動機車，因極端氣候現象日益加劇，提高了人們的環保意識，加上政府的引領，推動了移動零排放的電動車銷量。,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,本公司尚無執行溫室氣體排量盤查，配合政府推動時程進行盤查。,二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,本公司產品結合智慧操控與電動車，能提供多項潛在社會效益，包含提升運輸能源效率、節約能源、對抗氣候變遷、改善空氣品質，善盡企業社會責任。,(二)企業溫室氣體排放量減量目標,本公司二氧化碳排放量99%以上來自電力及水，因此電力與水的節約為節能減碳之優先目標，預計111年節省用電及水量與110年比較以節省1%為目標，減少溫室氣體排放量。,(三)企業溫室氣體排放量減量之預算與計畫,1.空調溫度管控：設定空調溫度，使空調更有效率，降低用電量。 2.用水管控：裝設節水設備，控制水流量更有效用水，降低用水量。 3.建立電子簽核系統：以電子簽核替代紙本簽核，減少紙張使用量。 4.設置潔能源設備：廠房屋頂增設太陽能發電系統，供廠區空調使用。,(四)企業產品或服務帶給客戶或消費者之減碳效果,開發及提升運輸能源效率，以減少碳排改善空氣品質，本公司除電動機車，未來乃會致力於開發出電動車善盡企業社會責任。
1742,台蠟,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,待評估,(二)企業受氣候變遷之實質風險,待評估,(三)氣候變遷提供企業之機會,待評估,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,待會計師驗證,二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,待評估,(二)企業溫室氣體排放量減量目標,待評估,(三)企業溫室氣體排放量減量之預算與計畫,待評估,(四)企業產品或服務帶給客戶或消費者之減碳效果,待評估
1785,光洋科,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,《氣候變遷因應法》將作為台灣2050年淨零排放的法制基礎，其中擬定對碳排放源徵收碳費，本公司未被列入首波徵收對象。,(二)企業受氣候變遷之實質風險,無短期性風險，長期性風險(30年)如海平面上升，本公司所在的總部大樓，因靠近海邊，極有可能會淹水，進而影響生產基地的正常運作。,(三)氣候變遷提供企業之機會,1.本公司以貴稀金屬回收及精煉為平台，將產業之貴稀金屬廢料回收，並透過廠內自行發展之精煉提純技術將廢料提純成工業級原料，並直接投入生產各種工業產品，再提供台灣及全球客群使用，實踐從廢料到高端材料的全循環經濟模式，此商業模式有助於資源循環再利用。 2.本公司於2019年成為全球首家通過BS 8001循環經濟認證的靶材業者，取得最高等級（Level 4）的認證；2020年依循UL2809回收料含量標準，針對氰化金鉀（PGC）、金粒（Au slug）、黃金條塊（Au Kilo Bar）、ITO 靶材等四項產品通過驗證。,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,"1.本公司2021年直接(範疇一)溫室氣體排放量為10,237.79噸CO2e；能源間接(範疇二)溫室氣體排放量為29,854.59噸CO2e；其他間接(範疇三)溫室氣體排放量為824,743.76噸CO2e。 2.盤查範疇為母公司；盤查時間為2021年1月1日至2021年12月31日。 3.已通過外部驗證，驗證機構為BSI；驗證標準為ISO 14064-1。",二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,1.本公司已正式成立永續專責部門進行永續議題推動，永續議題包含氣候變遷國際趨勢、法規影響、TCFD、SASB導入、ISO 50001、碳足跡(ISO 14067)等。 2.因應氣候變遷相關風險、機會的鑑別、評估，由永續專責單位針對風險、機會提出評估報告，並向ESG委員會或向董事會成員進行報告。 3.本公司積極評估減碳、負碳技術，此外本公司已導入ISO 50001，透過盤點用電設備，提高效率，開發先進技術，減少用電量，都是本公司評估的方向。,(二)企業溫室氣體排放量減量目標,暫無相關目標，目前仍在蒐集相關數據及預測方法，預計2年內完成相關目標設定並導入相關管理方案及措施。,(三)企業溫室氣體排放量減量之預算與計畫,太陽能專案建置：本公司預計於台灣三個廠區逐步設置太陽能板發電，降低外購電力之需求，減少溫室氣體排放；預計建設資本支出超過五千萬元。,(四)企業產品或服務帶給客戶或消費者之減碳效果,因應品牌廠商對循環經濟的重視，期望採用100%回收之原物料製作產品，本公司於2020年領先業界通過UL 2809回收料含量驗證，藉由第三方機構的查核及認證，確保本公司的相關產品採用回收材料製成，且相關流程皆符合循環經濟精神。本公司已導入100%回收的產品有氰化金鉀（PGC）、金粒（Au slug）、黃金條塊（Au Kilo Bar）。
1788,杏昌,資料年度：110,一、企業對於溫室氣體排放之影響，或衝擊之程度：,(一)企業受氣候變遷相關法規規範之風險,無相關風險,(二)企業受氣候變遷之實質風險,無相關風險,(三)氣候變遷提供企業之機會,無相關機會,(四)企業(直、間接)溫室氣體排放量(註明盤查範疇及時間)，及是否通過外部驗證,無統計數據,二、企業對於溫室氣體管理之策略、方法、目標等：,(一)企業對於因應氣候變遷或溫室氣體管理之策略,"研擬中,尚無實質策略",(二)企業溫室氣體排放量減量目標,無統計數據可茲研擬,(三)企業溫室氣體排放量減量之預算與計畫,無統計數據可茲研擬,(四)企業產品或服務帶給客戶或消費者之減碳效果,無統計數據可茲計算
